FECHA,Accidentes,Capped
2015-08-10,120,120.0
2015-08-11,126,126.0
2015-08-12,101,101.0
2015-08-13,114,114.0
2015-08-14,141,141.0
2015-08-15,126,126.0
2015-08-16,88,88.0
2015-08-17,75,75.0
2015-08-18,178,178.0
2015-08-19,111,111.0
2015-08-20,117,117.0
2015-08-21,108,108.0
2015-08-22,86,86.0
2015-08-23,68,68.0
2015-08-24,143,143.0
2015-08-25,111,111.0
2015-08-26,124,124.0
2015-08-27,127,127.0
2015-08-28,169,169.0
2015-08-29,125,125.0
2015-08-30,82,82.0
2015-08-31,119,119.0
2015-09-01,129,129.0
2015-09-02,130,130.0
2015-09-03,128,128.0
2015-09-04,147,147.0
2015-09-05,107,107.0
2015-09-06,85,85.0
2015-09-07,135,135.0
2015-09-08,102,102.0
2015-09-09,128,128.0
2015-09-10,143,143.0
2015-09-11,157,157.0
2015-09-12,124,124.0
2015-09-13,86,86.0
2015-09-14,147,147.0
2015-09-15,117,117.0
2015-09-16,126,126.0
2015-09-17,155,155.0
2015-09-18,157,157.0
2015-09-19,120,120.0
2015-09-20,72,72.0
2015-09-21,143,143.0
2015-09-22,109,109.0
2015-09-23,116,116.0
2015-09-24,135,135.0
2015-09-25,127,127.0
2015-09-26,108,108.0
2015-09-27,82,82.0
2015-09-28,117,117.0
2015-09-29,121,121.0
2015-09-30,134,134.0
2015-10-01,148,148.0
2015-10-02,133,133.0
2015-10-03,114,114.0
2015-10-04,74,74.0
2015-10-05,124,124.0
2015-10-06,133,133.0
2015-10-07,118,118.0
2015-10-08,119,119.0
2015-10-09,107,107.0
2015-10-10,125,125.0
2015-10-11,69,69.0
2015-10-12,66,66.0
2015-10-13,158,158.0
2015-10-14,109,109.0
2015-10-15,120,120.0
2015-10-16,131,131.0
2015-10-17,129,129.0
2015-10-18,72,72.0
2015-10-19,141,141.0
2015-10-20,136,136.0
2015-10-21,114,114.0
2015-10-22,120,120.0
2015-10-23,115,115.0
2015-10-24,112,112.0
2015-10-25,64,64.0
2015-10-26,110,110.0
2015-10-27,102,102.0
2015-10-28,109,109.0
2015-10-29,128,128.0
2015-10-30,153,153.0
2015-10-31,128,128.0
2015-11-01,71,71.0
2015-11-02,61,61.0
2015-11-03,117,117.0
2015-11-04,116,116.0
2015-11-05,131,131.0
2015-11-06,129,129.0
2015-11-07,117,117.0
2015-11-08,70,70.0
2015-11-09,108,108.0
2015-11-10,148,148.0
2015-11-11,145,145.0
2015-11-12,105,105.0
2015-11-13,128,128.0
2015-11-14,91,91.0
2015-11-15,64,64.0
2015-11-16,71,71.0
2015-11-17,136,136.0
2015-11-18,133,133.0
2015-11-19,121,121.0
2015-11-20,126,126.0
2015-11-21,109,109.0
2015-11-22,78,78.0
2015-11-23,138,138.0
2015-11-24,118,118.0
2015-11-25,126,126.0
2015-11-26,129,129.0
2015-11-27,125,125.0
2015-11-28,120,120.0
2015-11-29,68,68.0
2015-11-30,110,110.0
2015-12-01,132,132.0
2015-12-02,129,129.0
2015-12-03,147,147.0
2015-12-04,119,119.0
2015-12-05,134,134.0
2015-12-06,59,59.0
2015-12-07,153,153.0
2015-12-08,95,95.0
2015-12-09,131,131.0
2015-12-10,127,127.0
2015-12-11,108,108.0
2015-12-12,133,133.0
2015-12-13,94,94.0
2015-12-14,132,132.0
2015-12-15,136,136.0
2015-12-16,154,154.0
2015-12-17,111,111.0
2015-12-18,134,134.0
2015-12-19,126,126.0
2015-12-20,94,94.0
2015-12-21,120,120.0
2015-12-22,139,139.0
2015-12-23,114,114.0
2015-12-24,120,120.0
2015-12-25,60,60.0
2015-12-26,77,77.0
2015-12-27,60,60.0
2015-12-28,95,95.0
2015-12-29,96,96.0
2015-12-30,115,115.0
2015-12-31,71,71.0
2016-01-01,60,60.0
2016-01-02,56,56.0
2016-01-03,58,58.0
2016-01-04,89,89.0
2016-01-05,86,86.0
2016-01-06,90,90.0
2016-01-07,89,89.0
2016-01-08,95,95.0
2016-01-09,71,71.0
2016-01-10,62,62.0
2016-01-11,51,51.0
2016-01-12,102,102.0
2016-01-13,115,115.0
2016-01-14,96,96.0
2016-01-15,114,114.0
2016-01-16,121,121.0
2016-01-17,61,61.0
2016-01-18,127,127.0
2016-01-19,128,128.0
2016-01-20,127,127.0
2016-01-21,108,108.0
2016-01-22,130,130.0
2016-01-23,100,100.0
2016-01-24,69,69.0
2016-01-25,111,111.0
2016-01-26,117,117.0
2016-01-27,122,122.0
2016-01-28,112,112.0
2016-01-29,130,130.0
2016-01-30,98,98.0
2016-01-31,76,76.0
2016-02-01,125,125.0
2016-02-02,143,143.0
2016-02-03,124,124.0
2016-02-04,131,131.0
2016-02-05,117,117.0
2016-02-06,128,128.0
2016-02-07,83,83.0
2016-02-08,124,124.0
2016-02-09,131,131.0
2016-02-10,127,127.0
2016-02-11,162,162.0
2016-02-12,96,96.0
2016-02-13,118,118.0
2016-02-14,67,67.0
2016-02-15,124,124.0
2016-02-16,123,123.0
2016-02-17,167,167.0
2016-02-18,129,129.0
2016-02-19,142,142.0
2016-02-20,135,135.0
2016-02-21,66,66.0
2016-02-22,131,131.0
2016-02-23,116,116.0
2016-02-24,102,102.0
2016-02-25,109,109.0
2016-02-26,129,129.0
2016-02-27,116,116.0
2016-02-28,66,66.0
2016-02-29,130,130.0
2016-03-01,135,135.0
2016-03-02,99,99.0
2016-03-03,115,115.0
2016-03-04,124,124.0
2016-03-05,151,151.0
2016-03-06,82,82.0
2016-03-07,152,152.0
2016-03-08,121,121.0
2016-03-09,111,111.0
2016-03-10,154,154.0
2016-03-11,154,154.0
2016-03-12,125,125.0
2016-03-13,78,78.0
2016-03-14,152,152.0
2016-03-15,120,120.0
2016-03-16,124,124.0
2016-03-17,163,163.0
2016-03-18,145,145.0
2016-03-19,131,131.0
2016-03-20,69,69.0
2016-03-21,66,66.0
2016-03-22,108,108.0
2016-03-23,120,120.0
2016-03-24,46,47.5
2016-03-25,26,47.5
2016-03-26,76,76.0
2016-03-27,60,60.0
2016-03-28,145,145.0
2016-03-29,114,114.0
2016-03-30,133,133.0
2016-03-31,117,117.0
2016-04-01,116,116.0
2016-04-02,71,71.0
2016-04-03,39,47.5
2016-04-04,127,127.0
2016-04-05,134,134.0
2016-04-06,151,151.0
2016-04-07,108,108.0
2016-04-08,182,179.5
2016-04-09,112,112.0
2016-04-10,92,92.0
2016-04-11,132,132.0
2016-04-12,136,136.0
2016-04-13,108,108.0
2016-04-14,127,127.0
2016-04-15,152,152.0
2016-04-16,110,110.0
2016-04-17,81,81.0
2016-04-18,143,143.0
2016-04-19,114,114.0
2016-04-20,139,139.0
2016-04-21,129,129.0
